COD_ELEMENTO;ELEMENTO
39;outros servicos de terceiros - pessoa juridica
36;outros servicos de terceiros - pessoa fisica
13;obrigacoes patronais
47;obrigacoes tributarias e contributivas
41;contribuicoes
35;servicos de consultoria
30;material de consumo
11;vencimentos e vantagens fixas - pessoal civil
4;contratacao por tempo determinado
3;pensoes
1;aposentadorias e reformas
71;principal da divida contratual resgatado
52;equipamentos e material permanente
51;obras e instalacoes
91;sentencas judiciais
14;diarias - civil
66;concessao de emprestimos e financiamentos
48;outros auxilios financeiros a pessoas fisicas
32;material de distribuicao gratuita
31;premiacoes culturais, artisticas, cientificas, desportivas e outras
33;passagens e despesas com locomocao
43;subvencoes sociais
92;despesas de exercicios anteriores
5;outros beneficios previdenciarios
8;outros beneficios assistenciais
18;auxilio financeiro a estudantes
93;indenizacoes e restituicoes
61;aquisicao de imoveis
40;servicos de tecnologia da informacao e comunicacao - pessoa juridica
319011;vencimentos e vantagens fixas - pessoal civil
339039;outros servicos de terceiros - pessoa juridica
449052;equipamentos e material permanente
339040;servicos de tecnologia da informacao e comunicacao
339030;material de consumo
339092;despesas de exercicios anteriores
319013;obrigacoes patronais
319113;contribuicoes patronais
339035;servicos de consultoria
339036;outros servicos de terceiros - pessoa fisica
339014;diarias - civil
339047;obrigacoes tributarias e contributivas
339033;passagens e despesas com locomocao
319003;pensoes do rpps e do militar
319001;aposentadorias do rpps, reserva remunerada e reformas dos militares
339048;outros auxilios financeiros a pessoas fisicas
335041;contribuicoes
339091;sentencas judiciais
339018;auxilio financeiro a estudantes
339093;indenizacoes e restituicoes
339032;material, bem ou servico para distribuicao gratuita
319092;despesas de exercicios anteriores
449051;obras e instalacoes
469071;principal da divida contratual resgatado
469091;sentencas judiciais
319192;despesas de exercicios anteriores
469171;principal da divida contratual resgatada
319004;contratacao por tempo determinado
319091;sentencas judiciais
335039;outros servicos de terceiros - pessoa juridica
449030;material de consumo
449061;aquisicao de imoveis
455066;concessao de emprestimos e financiamentos
335043;subvencoes sociais
339031;premiacoes culturais, artisticas, cientificas, desportivas e outras
